apn,kayit_tipi,alim_fiyati,alim_tarihi,satis_fiyati,pesinat,aylik,vade,faiz,statu,marj,carpan,bolge,acres,ilan_baslik,kaynak_url,snapshot_tarihi,eslesme_notu
209-07-246,envanter,2000,2023/03/30,9999,197,197,72,,Servicing Retained,7999,5,19N 18W 7,2.35,"Sold!!! Unwind on 2.35 Acres in Golden Valley, AZ - Serenity Awaits!",https://discountlots.com/property/209-07-246,2026-07-13 (canli),canli-inertia-mohave-onaylandi
124-13-029,envanter,13077,2022/09/07,39999,1,469,144,,Servicing Retained,26922,3.06,15N 18W 5,39.94,"Sold!!! Take A Look At This Spacious 39.94-acre Lot In Lake Havasu City, AZ! A Desert Oasis Full Of Opportunities.",https://discountlots.com/property/124-13-029,2026-07-13 (canli),canli-inertia-mohave-onaylandi
243-11-006,envanter,12577,2022/05/05,,,,,,,,,  ,39.75,,,,bulunamadi
209-09-207,envanter,21000,2021/11/10,7999,197,259,36,,Servicing Retained,-13001,0.38,19N 18W 27,2.5,"Sold!!! Elevate Your Dreams: 2.5 Acres in Golden Valley, AZ!",https://discountlots.com/property/209-09-207,2026-07-13 (canli),canli-inertia-mohave-onaylandi
242-33-003,envanter,32500,2021/11/02,34999,197,568,96,,Available - HOLD CS,2499,1.08,16N 17W 35,39.92,"Sold!!! 39.92 Acres in Lake Havasu City, Massive Scale and Built-In Privacy",https://discountlots.com/property/242-33-003,2026-07-13 (canli),canli-inertia-mohave-onaylandi
317-02-068C,envanter,24500,2021/06/01,13129,1,332,48,,Sold - Terms,-11371,0.54,25N 20W 1,3.75,Sold!!! ,http://web.archive.org/web/20240304153106/https://discountlots.com/property/317-02-068c/,2024-03-04,arsiv-inertia-mohave-onaylandi
313-61-050A,envanter,20000,2020/12/15,16879,197,349,72,,Servicing Retained,-3121,0.84,24N 14W 29,8.63,"Sold!!! Build Your Dreams on 8.63 Acres in Kingman, Mohave County, AZ",https://discountlots.com/property/313-61-050A,2026-07-13 (canli),canli-inertia-mohave-onaylandi
313-61-050B,envanter,20000,2020/12/15,22499,1,289,120,,Sold - Terms,2499,1.12,24N 14W 31,9.31,Sold!!! ,https://discountlots.com/property/313-61-050B,2026-07-13 (canli),canli-inertia-mohave-onaylandi
313-61-050D,envanter,20000,2020/12/15,16879,197,349,72,,Servicing Retained,-3121,0.84,24N 14W 31,8.85,"Sold!!! Build Your Dreams on 8.85 Acres in Kingman, Mohave County, AZ",https://discountlots.com/property/313-61-050D,2026-07-13 (canli),canli-inertia-mohave-onaylandi
123-23-005,envanter,,,47999,197,583,96,,Available - Website,,,15N 17W 36,40.01,"40.01 Acres in Yucca, AZ with Wide-Open Land & Agricultural Zoning",https://discountlots.com/property/123-23-005,2026-07-13 (canli),canli-inertia-mohave-onaylandi
245-21-226,envanter,,,13999,197,249,72,,Servicing Retained,,,17N 17W 29,2.35,"Sold!!! Ready to own a slice of Arizona’s desert paradise? This 2.35-acre lot in Yucca, Mohave County, AZ offers manufactured home-friendly zoning, making it the perfect space for your new home or getaway retreat!",https://discountlots.com/property/245-21-226,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-02-149,satis_taksitte,8900,2024/06/10,11999,197,197,72,,Servicing Retained,3099,1.35,19N 18W 1,2.35,"Sold!!! Looking for a spacious desert retreat for your mobile home or RV? Own this 2.35-acre lot in Golden Valley, Mohave County, AZ, with Mobile Home & RV Friendly zoning, offering stunning views, open space, and endless possibilities for off-grid living!",https://discountlots.com/property/209-02-149,2026-07-13 (canli),canli-inertia-mohave-onaylandi
243-18-011,satis_taksitte,1431,2024/05/15,49999,197,510,96,,Sold - Terms,48568,34.94,  ,40,"Sold!!! 40 Acres in Yucca, Mohave County, AZ",https://discountlots.com/property/243-18-011,2026-07-13 (canli),canli-inertia-mohave-onaylandi
316-03-406,satis_taksitte,2500,2024/01/04,5249,1,240,24,,Servicing Retained,2749,2.1,25N 18W 7,1,"Sold!!! Looking for a desert escape for your mobile home or RV? Own this 1.00-acre lot in Dolan Springs, Mohave County, AZ, with Mobile Home & RV Friendly zoning, offering breathtaking views, wide-open space, and endless possibilities for off-grid living!",https://discountlots.com/property/316-03-406,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-05-074,satis_taksitte,2500,2023/11/30,19999,1,369,72,,Servicing Retained,17499,8,19N 18W 5,1.23,"Sold!!! Unleash Your Potential on 1.23 Acres in Golden Valley, AZ",https://discountlots.com/property/209-05-074,2026-07-13 (canli),canli-inertia-mohave-onaylandi
217-08-233,satis_taksitte,3600,2023/07/21,11695,197,217,72,,Servicing Retained,8095,3.25,4449 S GARNET RD,2.2,"Sold!!! Seize This 2.35-Acre Lot in Golden Valley, Mohave Co., AZ – Flat Terrain, No HOA, and Incredible Investment Potential!",https://discountlots.com/property/217-08-233,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-04-130,satis_taksitte,5002,2023/07/17,29999,1,489,84,,Servicing Retained,24997,6,19N 18W 5,2.35,"Sold!!! Are you a green thumb seeking room to grow? Acquire this splendid 2.35-acre lot in Golden Valley, Arizona! An ideal canvas for your flower and vegetable gardens.",https://discountlots.com/property/209-04-130,2026-07-13 (canli),canli-inertia-mohave-onaylandi
338-04-203,satis_taksitte,5002,2023/07/17,5031,197,221,24,,Servicing Retained,29,1.01,30N 16W 19,1.25,"Sold!!! Looking for a peaceful retreat with plenty of space for your mobile home or RV? Secure this 1.25-acre lot in Meadview, Mohave County, AZ, zoned for mobile homes and RVs, offering the perfect spot to enjoy Arizona’s serene landscape!",https://discountlots.com/property/338-04-203,2026-07-13 (canli),canli-inertia-mohave-onaylandi
338-04-253,satis_taksitte,5002,2023/07/17,4383,197,191,24,,Servicing Retained,-619,0.88,30N 16W 19,1.25,"Sold!!! Looking for a spacious, peaceful getaway with room for your mobile home or RV? Grab this 1.25-acre lot in Meadview, Mohave County, AZ, zoned for mobile homes and RVs, offering the perfect retreat in Arizona&#039;s scenic desert landscape!",https://discountlots.com/property/338-04-253,2026-07-13 (canli),canli-inertia-mohave-onaylandi
333-13-618,satis_taksitte,5000,2023/07/06,10928,1,211,72,,Servicing Retained,5928,2.19,7327 E SILVER SPUR DR,0.23,"Sold!!! Build Your Vision on 0.23 Acres in Kingman, AZ - Unleash Dreams!",https://discountlots.com/property/333-13-618,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-03-219,satis_taksitte,4500,2023/06/09,14999,197,267,72,,Servicing Retained,10499,3.33,19N 18W 3,2.09,"Sold!!! Looking for a spacious property with endless possibilities in Arizona? Secure this 2.09-acre manufactured home and RV-friendly lot in Golden Valley, Mohave County, and enjoy wide-open space and stunning desert views!",https://discountlots.com/property/209-03-219,2026-07-13 (canli),canli-inertia-mohave-onaylandi
305-06-023,satis_taksitte,10000,2023/06/09,18999,1,349,72,,Sold - Terms,8999,1.9,21N 17W 7,2.35,"Sold!!! Escape to 2.35 Acres of Bliss in Golden Valley, AZ!",https://discountlots.com/property/305-06-023,2026-07-13 (canli),canli-inertia-mohave-onaylandi
319-13-399,satis_taksitte,3500,2023/06/05,12499,197,222,72,,Servicing Retained,8999,3.57,26N 19W 25,1.16,"Sold!!! Looking for a peaceful desert retreat with manufactured home and RV-friendly zoning? Own 1.16 acres in Dolan Springs, Mohave County, AZ—ideal for off-grid living, a private getaway, or investment with stunning mountain views and endless adventure!",https://discountlots.com/property/319-13-399,2026-07-13 (canli),canli-inertia-mohave-onaylandi
313-44-728,satis_taksitte,7200,2023/05/26,11159,197,239,60,,Servicing Retained,3959,1.55,7084 E AGUA FRIA DR,0.27,"Sold!!! Create Your Serene Lifestyle on 0.27-Acre Plot in Kingman, AZ!",https://discountlots.com/property/313-44-728,2026-07-13 (canli),canli-inertia-mohave-onaylandi
339-12-068,satis_taksitte,1250,2023/03/30,14749,197,267,72,,Sold - Terms,13499,11.8,22N 19W 19,2.35,"Sold!!! Build on 2.35 Acres in Golden Valley, Mohave County, AZ with Flat Terrain & Mountain Views Near Kingman!",https://discountlots.com/property/339-12-068,2026-07-13 (canli),canli-inertia-mohave-onaylandi
336-09-011,satis_taksitte,4650,2023/03/17,17674,197,325,72,,Sold - Terms,13024,3.8,26335 N SANDY POINT DR,1.25,"Sold!!! Claim 1.25 Acres in Meadview, Mohave County, AZ Near Grand Canyon Views & Outdoor Adventure!",https://discountlots.com/property/336-09-011,2026-07-13 (canli),canli-inertia-mohave-onaylandi
122-20-012,satis_taksitte,18000,2022/08/18,27499,197,449,84,,Servicing Retained,9499,1.53,15N 16W 25,40.07,"Sold!!! Discover Expansive 40.07 Acres of Paradise in Lake Havasu, Arizona!",https://discountlots.com/property/122-20-012,2026-07-13 (canli),canli-inertia-mohave-onaylandi
339-12-040,satis_taksitte,2077,2021/11/30,10499,197,249,72,,Servicing Retained,8422,5.05,22N 19W 19,2.21,"Sold!!! Ready to Unleash Your Imagination on 2.21 Acres in Golden Valley, Mohave County, AZ? Embrace Endless Possibilities!",https://discountlots.com/property/339-12-040,2026-07-13 (canli),canli-inertia-mohave-onaylandi
208-25-215,satis_taksitte,6000,2021/11/24,8999,1,189,60,,Servicing Retained,2999,1.5,18N 17W 31,2.2,Sold!!! ,https://discountlots.com/property/208-25-215,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-05-007,satis_taksitte,6000,2021/11/24,8999,197,229,72,,Servicing Retained,2999,1.5,3693 S CENTENNIAL RD,2.2,"Sold!!! Desire a space that resonates with you? Harness 2.35-acre lot in Golden Valley, Arizona! Your personal oasis is just an investment away.",https://discountlots.com/property/215-05-007,2026-07-13 (canli),canli-inertia-mohave-onaylandi
121-20-004,satis_taksitte,11277,2021/11/19,46999,1,609,120,,Servicing Retained,35722,4.17,15N 15W 29,40.02,Sold!!! ,https://discountlots.com/property/121-20-004,2026-07-13 (canli),canli-inertia-mohave-onaylandi
208-29-112,satis_taksitte,21000,2021/11/10,7999,1,179,60,,Servicing Retained,-13001,0.38,18N 18W 1,2.35,Sold!!! ,https://discountlots.com/property/208-29-112,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-06-221,satis_taksitte,21000,2021/11/10,7999,1,259,36,,Servicing Retained,-13001,0.38,19N 18W 9,2.34,Sold!!! ,https://discountlots.com/property/209-06-221,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-06-243,satis_taksitte,21000,2021/11/10,14999,197,279,72,,Servicing Retained,-6001,0.71,19N 18W 9,2.34,"Sold!!! Embrace Serene Living: Own 2.34 Acres in Golden Valley, AZ Today!",https://discountlots.com/property/209-06-243,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-07-030,satis_taksitte,21000,2021/11/10,9999,197,229,72,,Servicing Retained,-11001,0.48,19N 18W 7,2.2,"Sold!!! Looking for Your Slice of Arizona Serenity? Secure 2.20 Acres in Golden Valley, Mohave County, AZ Today and Transform Your Vision!",https://discountlots.com/property/209-07-030,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-09-019,satis_taksitte,21000,2021/11/10,7999,197,244,48,,Servicing Retained,-13001,0.38,19N 18W 27,2.5,"Sold!!! Secure 2.5-Acre Flat Lot in Golden Valley, Mohave AZ with AR-2A Zoning, Affordable Taxes, and No HOA Fees!",https://discountlots.com/property/209-09-019,2026-07-13 (canli),canli-inertia-mohave-onaylandi
334-03-190,satis_taksitte,21000,2021/11/10,7999,197,231,36,,Servicing Retained,-13001,0.38,25N 15W 19,2.5,"Sold!!! Want a private desert getaway for your mobile home or RV? Own this 2.50-acre lot in Golden Valley, Mohave County, AZ, with Mobile Home & RV Friendly zoning, offering stunning mountain views, open space, and endless possibilities for off-grid living!",https://discountlots.com/property/334-03-190,2026-07-13 (canli),canli-inertia-mohave-onaylandi
334-03-192,satis_taksitte,21000,2021/11/10,7999,1,179,60,,Servicing Retained,-13001,0.38,25N 15W 19,2.5,Sold!!! ,https://discountlots.com/property/334-03-192,2026-07-13 (canli),canli-inertia-mohave-onaylandi
217-07-216,satis_taksitte,4000,2021/11/03,8999,1,179,60,,Servicing Retained,4999,2.25,3916 S YAQUI RD,2.35,Sold!!! ,https://discountlots.com/property/217-07-216,2026-07-13 (canli),canli-inertia-mohave-onaylandi
217-07-217,satis_taksitte,4000,2021/11/03,8999,1,179,60,,Servicing Retained,4999,2.25,3882 S YAQUI RD,2.35,Sold!!! ,https://discountlots.com/property/217-07-217,2026-07-13 (canli),canli-inertia-mohave-onaylandi
217-09-095,satis_taksitte,5000,2021/11/03,8999,197,264,72,,Servicing Retained,3999,1.8,4533 S MUSCOVITE RD,2.35,"Sold!!! Own 2.35 Acres in Golden Valley, Mohave County AZ with Flat Terrain and Agricultural-Residential Zoning!",https://discountlots.com/property/217-09-095,2026-07-13 (canli),canli-inertia-mohave-onaylandi
217-09-096,satis_taksitte,5000,2021/11/03,8999,1,179,60,,Servicing Retained,3999,1.8,4565 S MUSCOVITE RD,2.35,Sold!!! ,https://discountlots.com/property/217-09-096,2026-07-13 (canli),canli-inertia-mohave-onaylandi
122-31-003,satis_taksitte,32500,2021/11/02,34999,197,448,96,,Sold - Terms,2499,1.08,15N 16W 24,39.83,"Sold!!! Claim 39.83 Acres in Lake Havasu City, Mohave County, AZ with Flat Terrain, Mountain Views & Investment Potential!",https://discountlots.com/property/122-31-003,2026-07-13 (canli),canli-inertia-mohave-onaylandi
242-24-002,satis_taksitte,32500,2021/11/02,34999,197,448,96,,Sold - Terms,2499,1.08,16N 17W 25,40.06,"Sold!!! Unlock 40 Acres of Desert Paradise near Lake Havasu City, Mohave, AZ—Endless Adventure Awaits!",https://discountlots.com/property/242-24-002,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-04-153,satis_taksitte,2200,2021/10/29,10999,197,182,48,,Sold - Terms,8799,5,19N 18W 5,2.35,"Sold!!! Claim 2.35 Acres in Golden Valley, Mohave County AZ for Panoramic Desert Views and Prime Privacy!",https://discountlots.com/property/209-04-153,2026-07-13 (canli),canli-inertia-mohave-onaylandi
209-06-138,satis_taksitte,4050,2021/10/29,7799,197,198,48,,Servicing Retained,3749,1.93,19N 18W 9,2.34,"Sold!!! Own 2.34 Acres in Golden Valley, Mohave County AZ  Flat, Buildable Desert Land Near Kingman and Route 66!",https://discountlots.com/property/209-06-138,2026-07-13 (canli),canli-inertia-mohave-onaylandi
208-29-120,satis_taksitte,2077,2021/10/05,9999,197,189,72,,Servicing Retained,7922,4.81,18N 18W 1,2.35,"Sold!!! Claim 2.35 Acres in Golden Valley, Mohave County AZ with Stunning Desert Views and Investment Potential!",https://discountlots.com/property/208-29-120,2026-07-13 (canli),canli-inertia-mohave-onaylandi
122-24-006,satis_taksitte,11000,2021/07/12,39999,197,444,96,,Sold - Terms,28999,3.64,15N 16W 34,39.92,"Sold!!! Secure 39.92 Acres in Yucca City, Mohave County, AZ with Flat Terrain, Scenic Desert Views & Investment Upside!",https://discountlots.com/property/122-24-006,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-02-106,satis_taksitte,24500,2021/06/01,7999,1,259,36,,Servicing Retained,-16501,0.33,2660 S YAVAPAI RD,2.35,Sold!!! ,https://discountlots.com/property/215-02-106,2026-07-13 (canli),canli-inertia-mohave-onaylandi
215-06-202,satis_taksitte,24500,2021/06/01,8299,1,179,60,,Servicing Retained,-16201,0.34,3852 S MANZANITA RD,2.35,Sold!!! ,https://discountlots.com/property/215-06-202,2026-07-13 (canli),canli-inertia-mohave-onaylandi
217-08-146,satis_taksitte,24500,2021/06/01,8299,197,321,72,,Servicing Retained,-16201,0.34,4448 S PERIDOT RD,2.35,"Sold!!! Looking for a peaceful desert escape with endless possibilities? Discover 2.35 acres in Kingman, Mohave County, AZ—your gateway to wide-open spaces and stunning desert views!",https://discountlots.com/property/217-08-146,2026-07-13 (canli),canli-inertia-mohave-onaylandi
245-22-242,satis_taksitte,24500,2021/06/01,8229,1,179,60,,Servicing Retained,-16271,0.34,17N 17W 31,2.35,Sold!!! ,https://discountlots.com/property/245-22-242,2026-07-13 (canli),canli-inertia-mohave-onaylandi
317-08-062,satis_taksitte,24500,2021/06/01,17499,197,358,72,,Sold - Terms,-7001,0.71,25N 20W 11,5,"Sold!!! Secure 5 Acres in Dolan Springs, Mohave County, AZ Flat Terrain, Agricultural Zoning, and Ready for Your Next Project!",https://discountlots.com/property/317-08-062,2026-07-13 (canli),canli-inertia-mohave-onaylandi
328-05-142,satis_taksitte,10000,2005/07/22,11499,1,120,301,,Sold - Terms,1499,1.15,26N 18W 21,1.06,Sold!!! ,https://discountlots.com/property/328-05-142,2026-07-13 (canli),canli-inertia-mohave-onaylandi
123-13-003,satis_taksitte,,,35999,197,347,84,,Servicing Retained,,,15N 17W 19,40.03,"Sold!!! Expansive 40.03-Acre Lot in Lake Havasu City, Mohave County, AZ",https://discountlots.com/property/123-13-003,2026-07-13 (canli),canli-inertia-mohave-onaylandi
333-13-635,satis_taksitte,,,7429,1,140,72,,Servicing Retained,,,7393 E RUSTLERS DR,0.2,"Sold!!! Explore 0.20 Acres in Kingman, AZ: Your Perfect Land Oasis Awaits!",https://discountlots.com/property/333-13-635,2026-07-13 (canli),canli-inertia-mohave-onaylandi
339-05-173,satis_taksitte,,,8999,197,224,60,,Sold - Terms,,,22N 19W 1,2.35,"Sold!!! Own 2.35 Acres in Golden Valley, Mohave County AZ Flat Terrain, Open Zoning, and Easy Access to Outdoor Adventure!",https://discountlots.com/property/339-05-173,2026-07-13 (canli),canli-inertia-mohave-onaylandi
